"geonameid","name","asciiname","latitude","longitude","country_code","admin1_code","admin1_name","population","timezone","hl","gl"
"3467747","Campo Grande","Campo Grande","-20.44278","-54.64639","BR","11","Mato Grosso do Sul","906092","America/Campo_Grande","pt","BR"
"3394023","Natal","Natal","-5.795","-35.20944","BR","22","Rio Grande do Norte","896708","America/Fortaleza","pt","BR"
"4259418","Indianapolis","Indianapolis","39.76838","-86.15804","US","IN","Indiana","887642","America/Indiana/Indianapolis","en","US"
"4460243","Charlotte","Charlotte","35.22709","-80.84313","US","NC","North Carolina","874579","America/New_York","en","US"
"3386496","Teresina","Teresina","-5.08917","-42.80194","BR","20","Piauí","871126","America/Fortaleza","pt","BR"
"5391959","San Francisco","San Francisco","37.77493","-122.41942","US","CA","California","864816","America/Los_Angeles","en","US"
"3600949","Tegucigalpa","Tegucigalpa","14.0818","-87.20681","HN","08","Francisco Morazán Department","850848","America/Tegucigalpa","es","HN"
"3919968","Cochabamba","Cochabamba","-17.38195","-66.15995","BO","02","Cochabamba","841276","America/La_Paz","es","BO"
"3456160","Nova Iguaçu","Nova Iguacu","-22.75917","-43.45111","BR","21","Rio de Janeiro","823302","America/Sao_Paulo","pt","BR"
"3464374","Duque de Caxias","Duque de Caxias","-22.78556","-43.31167","BR","21","Rio de Janeiro","818329","America/Sao_Paulo","pt","BR"
"3397277","João Pessoa","Joao Pessoa","-7.115","-34.86306","BR","17","Paraíba","817511","America/Fortaleza","pt","BR"
"3648559","Barcelona","Barcelona","10.1384","-64.68769","VE","02","Anzoátegui","815141","America/Caracas","es","VE"
"4004898","Hermosillo","Hermosillo","29.08874","-110.96677","MX","26","Sonora","812229","America/Hermosillo","es","MX"
"6094817","Ottawa","Ottawa","45.41117","-75.69812","CA","08","Ontario","812129","America/Toronto","en","CA"
"4012176","Culiacán","Culiacan","24.80209","-107.39421","MX","25","Sinaloa","808416","America/Mazatlan","es","MX"
"3601782","San Pedro Sula","San Pedro Sula","15.50585","-88.02588","HN","06","Cortés Department","801259","America/Tegucigalpa","es","HN"
"3522790","Naucalpan de Juárez","Naucalpan de Juarez","19.47851","-99.23963","MX","15","México","792211","America/Mexico_City","es","MX"
"3685533","Cúcuta","Cucuta","7.90745","-72.5049","CO","21","Norte de Santander Department","777106","America/Bogota","es","CO"
"6183235","Winnipeg","Winnipeg","49.8844","-97.14704","CA","03","Manitoba","749607","America/Winnipeg","en","CA"
"3449344","São Bernardo do Campo","Sao Bernardo do Campo","-23.69389","-46.565","BR","27","São Paulo","743372","America/Sao_Paulo","pt","BR"
"3995402","Morelia","Morelia","19.70078","-101.18443","MX","16","Michoacán","743275","America/Mexico_City","es","MX"
"5809844","Seattle","Seattle","47.60621","-122.33207","US","WA","Washington","737015","America/Los_Angeles","en","US"
